Name	Set	ImageFile	Number	CardType	Level	PowerKind	VirtueScoreOrSinnieDefense	FellowshipScoreKind	FellowshipScorePoints	ActivationCost	AbilityText	Weakness	Attribute	VerseReference	VerseText	Artist	Script
Stagnetic ULTRA 1	CT	15_Stagnetic_Ultra.jpg	15	Virtuous	1	Faith	12			FFF			Immovable	1 Corinthians 15:58		Danh Tran Art	
Glimmer 1	CT	16_Glimmer.jpg	16	Virtuous	1	Hope	2	F	5	H			Child of Light	Ephesians 5:8		Joshua Wegner	
Glimmer 2	CT	17_Glimmer2.jpg	17	Virtuous	2	Hope	6	F	10	HU			Hopeful	Philippians 1:6		Joshua Wegner	
Gazoom 1	CT	18_Gazoom.jpg	18	Virtuous	1	Hope	12			HHU-			In It To Win It	1 Corinthians 9:24		Joshua Wegner	
Daybeak 1	CT	19_Daybeak.jpg	19	Virtuous	1	Hope	5			HU			Awaken	Ephesians 5:14		Baygent Baker	
Squibble 1	CT	20_Squibble.jpg	20	Virtuous	1	Hope	4	L	7	HU			Sharing	1 Timothy 6:18		Joshua Wegner	
Llamup 1	CT	21_Llamup.jpg	21	Virtuous	1	Hope	7			HUU	ACTION: Look at the top 5 cards in your deck.  Arrange them in any order you desire.		Eyes Up	Colossians 3:2		Christina Todd	
Conquersaur 1	CT	22_Conquersaur.jpg	22	Virtuous	1	Hope	5			HU-			Unwavering	Hebrews 10:23		Joshua Wegner	
Conquersaur 2	CT	23_Conquersaur2.jpg	23	Virtuous	2	Hope	10			HH			More Than Conquerors	Romans 8:37		Danh Tran Art	
Dependaru 1	CT	24_Dependaru.jpg	24	Virtuous	1	Hope	4			HU			Joyful Noise	Psalm 95:1 (KJV)		Thomas Strickland	
Dependaru 2	CT	25_Dependaru2.jpg	25	Virtuous	2	Hope	9	S	12	H-			Rescued	Psalm 40:2		Thomas Strickland	
Oincome 1	CT	26_Oincome.jpg	26	Virtuous	1	Hope	7			HH-			True Provider	1 Timothy 6:17		Joshua Wegner	
Oincome 2	CT	27_Oincome2.jpg	27	Virtuous	2	Hope	8			HH	ACTION: Search your deck for 2 H powers.  Place them directly into your power pool.  Shuffle your deck afterward.		Stewardship	1 Peter 4:10		Joshua Wegner	
Shwimmer 1	CT	28_Shwimmer.jpg	28	Virtuous	1	Hope	5	S	9	H-			Abounding Hope	Romans 15:13		Christina Todd	
Profess-Hare 1	CT	29_Professhare.jpg	29	Virtuous	1	Hope	8			H-H-	ACTION: Search your deck for up to two Lv. 1 Animo (excluding Ultra) and place them into your small group (if space provides).  Shuffle your deck afterward.		Profess	Romans 10:10		Christina Todd	
Conquersaur ULTRA 1	CT	30_Conquersaur_Ultra.jpg	30	Virtuous	1	Hope	14			HH-H-			More Than Conquerors	Romans 8:37		Danh Tran Art	
Agapesaur 1	CT	31_Agapesaur.jpg	31	Virtuous	1	Love	5			LL	ABILITY: Once per turn, discard 1 F or H Animo from your small group and search your deck for 1 L Animo and place it in your hand.  Shuffle afterward.		Greatest of These	1 Corinthians 13:13		Joshua Wegner	
Agapesaur 2	CT	32_Agapesaur2.jpg	32	Virtuous	2	Love	10			LL	ABILITY: As long as this card is in your small group any Sinnie that is revealed to you also has a weakness of "Agapesaur" in addition to its stated weakness.		Love Conquers All	1 Peter 4:8		Danh Tran Art	
Potpourraise 1	CT	33_Potpourraise.jpg	33	Virtuous	1	Love	7			LUU	ABILITY: As long as this card is in your small group, ignore any effects from the ACTIONS of nay Sinnies revealed to you.		Praise	1 Corinthians 16:23		Christina Todd	
Ankindleo 1	CT	34_Ankindleo.jpg	34	Virtuous	1	Love	5			LL	ABILITY: As long as this card remains in your small group, your opponent(s) may not reveal any MEGA Sinnies to you.		Fearless love	1 John 4:18a		Joshua Wegner	
Fairlee 1	CT	35_Fairlee.jpg	35	Virtuous	1	Love	4	?	8	LUU	ABILITY: Apply the fellowship bonus for this card as long as it is activated in the same turn as another Animo, regardless of its kind.		Fairness	James 2:1		Baygent Baker	
Fawndly 1	CT	36_Fawndly.jpg	36	Virtuous	1	Love	5	H	8	LU			Parched Heart	Psalms 42:1		Joshua Wegner	
Mooyoo 1	CT	37_Mooyoo.jpg	37	Virtuous	1	Love	4	H	7	LL			Selfless	Philippians 2:4 (KJV)		Sophia Wegner	
Klimate 1	CT	38_Klimate.jpg	38	Virtuous	1	Love	4	S	10	LLU			Overcomer	1 Peter 5:7		Danh Tran Art	
Furball 1	CT	39_Furball.jpg	39	Virtuous	1	Love	3	F	6	LU			Kindness	Galatians 6:10		Joshua Wegner	
Bearmaid 1	CT	40_Bearmaid.jpg	40	Virtuous	1	Love	3	F	5	L			Bear with One Another	Ephesians 4:2		Baygent Baker	
Harmony 1 (L)	CT	41_Harmony.jpg	41	Virtuous	1	Love	3			L	ABILITY: If this card is in your small group at the same time as "S Harmony", you may search your deck for "Harmony Lv.2".  Shuffle your deck afterward.		Love Bond	Colossians 3:14		Danh Tran Art	
Tweetheart 1	CT	42_Tweetheart.jpg	42	Virtuous	1	Love	3	S	6	L			Tender-Hearted	1 Peter 3:8		Joshua Wegner	
Servidude 1	CT	43_Servidude.jpg	43	Virtuous	1	Love	8			LUU	ABILITY: Once per turn, you may draw 1 card for each F, H, or S Animo in your small group.		Servant's Heart	Galatians 5:13		Christina Todd	
Naybay 1	CT	44_NaybayL.jpg	44	Virtuous	1	Love	4			LU	ACTION: You may search your deck for a standard power and place it directly into your power pool.  If you do, choose 1 opponent to do the same.		Neigh-borly Love	Galatians 5:14		Christina Todd	
Salteeny 1	CT	45_Salteeny.jpg	45	Virtuous	1	Love	5			LL			Tasty Talk	Colossians 4:6		Joshua Wegner	
Salteeny 2	CT	46_Salteeny2.jpg	46	Virtuous	2	Love	10	S	14	LL			Speak Truth	Ephesians 4:25		Danh Tran Art	
Salteeny ULTRA 1	CT	47_Salteeny_Ultra.jpg	47	Virtuous	1	Love	11			LLU			Speak Life	Ephesians 4:15		Danh Tran Art	
Agapesaur ULTRA 1	CT	48_Agapesaur_Ultra.jpg	48	Virtuous	1	Love	13			LLL			Loving	1 Corinthians 16:14		Danh Tran Art	
Razzbear 1 (CT)	CT	49_Razzbear.jpg	49	Virtuous	1	Spirit	8			SUU	ACTION: Reveal the top three cards of your deck.  You may place any power cards you find there directly into your power pool.  Shuffle the rest back into your deck.		Bear-ing Fruit	Galatians 5:22-23		Danh Tran Art	
Draylight 1	CT	50_Draylight.jpg	50	Virtuous	1	Spirit	2			S			Made Special	Psalm 139:13		Joshua Wegner	
Draylight 2	CT	51_Draylight2.jpg	51	Virtuous	2	Spirit	7			SU			Wonderfully Made	Psalm 139:14		Joshua Wegner	
Draylight 3	CT	52_Draylight3.jpg	52	Virtuous	3	Spirit	13			SUU	ABILITY: When this card is played from your hand to grow Draylight Lv. 2, you may search your deck for any card.  Shuffle your deck afterward.		New Creation	2 Corinthians 5:17		Danh Tran Art	
Guppeace 1 (CT)	CT	53_Guppeace_CT.jpg	53	Virtuous	1	Spirit	2			S	ABILITY: When you play this card from your hand into your small group, you may search your deck for any 1 F or H Animo.  Shuffle your deck afterward.		Overflowing Peace	Philippians 4:7		Joshua Wegner	
Manty 1	CT	54_Manty.jpg	54	Virtuous	1	Spirit	3			S			Steadfast	Colossians 4:2		Joshua Wegner	
Manty 2	CT	55_manty2.jpg	55	Virtuous	2	Spirit	8			SU	ACTION: Search your deck for any power card and place it directly in your power pool.  Shuffle your deck afterward.		Prayer	Ephesians 6:18a (NIV)		Danh Tran Art	
Fuzzwurm 1	CT	56_Fuzzwurm.jpg	56	Virtuous	1	Spirit	2			S			Beyond Compare	Romans 8:18		Joshua Wegner	
Fuzzwurm 2	CT	57_Fuzzwurm2.jpg	57	Virtuous	2	Spirit	7			SUU	ABILITY: You may choose to discard an equipment card that is attached to this card.  If you do, you may draw 4 cards.		Persevere	Romans 5:3-4		Joshua Wegner	
Fuzzwurm 3	CT	58_Fuzzwurm3.jpg	58	Virtuous	3	Spirit	12			SU	ACTION: Search your deck for an equipment card and attach it to an Animo in your small group.  Shuffle your deck afterward.		Transformed	2 Corinthians 3:18		Joshua Wegner	
Owlert 1	CT	59_Owlert.jpg	59	Virtuous	1	Spirit	6			SU	ABILITY: Once per turn, you may look at the top card of your deck and either return it to the top or place it on the bottom of the deck.		Keeping Watch	1 Thessalonians 5:6		Baygent Baker	
Sprout 1	CT	60_Sprout.jpg	60	Virtuous	1	Spirit	4			SU			Spiritual Growth	Ephesians 4:15		Joshua Wegner	
Sprout 2	CT	61_Sprout2.jpg	61	Virtuous	2	Spirit	7			SU	ACTION: Search your deck for the next growth stage for any Animo in your small group and instantly grow that Animo.  Shuffle your deck afterwards.		Rooted in Him	Colossians 2:6-7a		Joshua Wegner	
Pladdy 1	CT	62_Pladdy.jpg	62	Virtuous	1	Spirit	5			SU			Holy Dwelling	1 Corinthians 6:19a		Baygent Baker	
Harmony 1 (S)	CT	63_HarmonyS.jpg	63	Virtuous	1	Spirit	3			S			Harmonious	Romans 12:16a (NIV)		Danh Tran Art	
Floraline 1	CT	64_Floraline.jpg	64	Virtuous	1	Spirit	7			SUU			Freedom	2 Corithians 3:17		Baygent Baker	
Floraline 2	CT	65_Floraline2.jpg	65	Virtuous	2	Spirit	8			SU	ABILITY: If you are facing a Sinnie this card has no activation cost.		Set Free	Romans 8:2		Baygent Baker	
Lilly 1	CT	66_Lilly.jpg	66	Virtuous	1	Spirit	3			S	ACTION: Search your deck for any Lv. 1 F, H, or L Animo and place it in your hand.  Shuffle your deck afterwards.		Peace	Colossians 3:15		Sophia Wegner	
Razzbear ULTRA 1	CT	67_Razzbear_Ultra.jpg	67	Virtuous	1	Spirit	10			SUU			Fruit of the Spirit	Galatians 5:22-23a		Danh Tran Art	
Draylight ULTRA 1	CT	68_Draylight_Ultra.jpg	68	Virtuous	1	Spirit	13			SUUU			New Creation	2 Corinthians 5:17		Danh Tran Art	
Potpourraise 1	CT	69_PotpourraiseU.jpg	69	Virtuous	1	Universal	12			SHL			Rejoice	Isaiah 55:12		Christina Todd	
Harmony 2	CT	70_Harmony2.jpg	70	Virtuous	2	Universal	12			SL			In Sync	Romans 15:5-6		Danh Tran Art	
Fawndly 2	CT	71_Fawndly2.jpg	71	Virtuous	2	Universal	10			UU			Loved	Psalm 136:26		Baygent Baker	
Princess Gem 1	CT	72_PrincessGem.jpg	72	Virtuous	1	Universal	3			UU			Child of the King	2 Corinthians 6:18		Joshua Wegner	
Princess Gem 2	CT	73_PrincessGem2.jpg	73	Virtuous	2	Universal	6			UU			Clothed in Christ	Galatians 3:26-27		Joshua Wegner	
Princess Gem 3	CT	74_PrincessGem3.jpg	74	Virtuous	3	Universal	12			UU			Alive in Christ	Ephesians 2:4-5		Danh Tran Art	
Honoroo 1	CT	75_Honoroo.jpg	75	Virtuous	1	Universal	9			SFU			Ransomed	1 Corinthians 6:19b-20		Baygent Baker	
Naybay 1	CT	76_Naybay.jpg	76	Virtuous	1	Universal	5			FL			Saved by Grace	Ephesians 2:8-9		Christina Todd	
Bearmaid 2	CT	77_Bearmaid2.jpg	77	Virtuous	2	Universal	8			UU			Serving	1 Peter 4:10		Baygent Baker	
Mercifire 1	CT	78_Mercifire.jpg	78	Virtuous	1	Universal	9			FLU			Not of Ourselves	Titus 3:5		Danh Tran Art	
Mercifire ULTRA 1	CT	79_Mercifire_Ultra.jpg	79	Virtuous	1	Universal	14			UUUU			Merciful King	Psalm 145:8		Danh Tran Art	
Princess Gem ULTRA 1	CT	80_PrincessGem_Ultra.jpg	80	Virtuous	1	Universal	12			UUU			Heavenly Home	Ephesians 2:6 (NIV)		Danh Tran Art	
Croggle	CT	81_Croggle.jpg	81	Sinnie			7				ABILITY: As long as this card remains your opponent's Active Sinnie, they may not retrieve any cards from their discard pile.	Princess Gem	Guilt	Romans 8:18		Joshua Wegner	
Skortch	CT	82_Skortch.jpg	82	Sinnie			9				ACTION: Your opponent may not ACTIVATE any H Animo on their next turn.	Furball	Fire Starter	James 3:5		Joshua Wegner	
Krass-Hopper	CT	83_Krasshopper.jpg	83	Sinnie			9				ACTION: When played, your opponent reveals their hand.  Select one card and have them shuffle it back into their deck.	Salteeny Lv. 1	Coarseness	Ephesians 5:4		Danh Tran Art	
Zapper King	CT	84_zapperking.jpg	84	Sinnie			9				ACTION: Your opponent may not play any level 1 Animo from their hand into their small group next turn.	Fairlee	Oppressor	Zechariah 7:10		Joshua Wegner	
Scoffish	CT	85_Scoffish.jpg	85	Sinnie			8				ACTION: Your opponent may not ACTIVATE any F Animo on their next turn.	Trusty	Scoffer	2 Peter 3:3-4 (NIV)		Baygent Baker	
Evol	CT	86_Evol.jpg	86	Sinnie			8				ACTION: Your opponent may not ACTIVATE any L Animo on their  next turn.	Naybay	Hatred	1 John 4:20		Baygent Baker	
Tollkrow	CT	87_Tollkrow.jpg	87	Sinnie			12					Beeliever	Due Penalty	Romans 6:23		Danh Tran Art	
Scornit	CT	88_Scornit.jpg	88	Sinnie			6				ABILITY: You may have up to 3 Scornits in your deck and play them on top of each other to create a Swarm.  The Swarm has a defense of the sum of each Scornit, but only counts as 1 Sinnie when defeated.	Fetchie	Scornful	Proverbs 13:13		Joshua Wegner	
Rottenweiler	CT	89_Rottenweiler.jpg	89	Sinnie			8				ACTION: Select up to two cards from your opponent's discard pile and add them to their hand.	Potpourraise	Trash Talk	1 Timothy 2:16 (KJV)		Baygent Baker	
Scorpoon	CT	90_Scorpoon.jpg	90	Sinnie			12				ACTION: If you are not already facing a Sinnie, your opponent must reveal a Sinnie from their discard pile (if they have one) and play it against you.	Armorino Lv. 2	Sting	1 Corinthians 15:55-56		Danh Tran Art	
Screeny	CT	91_Screeny.jpg	91	Sinnie			8				ABILITY: Your opponent may not use their Truth Seeker ability while this Sinnie remains active.	Floraline	Overload	1 Corinthians 6:12		Sophia Wegner	
Belligerphant	CT	92_Belligerphant.jpg	92	Sinnie			11					Tweetheart	Belligerent	Colossians 3:8 (NIV)		Christina Todd	
Detestabull	CT	93_Detestabull.jpg	93	Sinnie			10				ACTION: Your opponent must discard one of their equipment cards that are in play.	Troobloo	Unfit	Titus 1:16		Danh Tran Art	
Corruptayra	CT	94_Corruptayra.jpg	94	Sinnie			9				ABILITY: As long as this card remains your opponent's Active Sinnie, they may not attach any equipment cards to their Animo.	Salteeny Lv. 2	Defiled	Titus 1:15		Danh Tran Art	
Provokupine	CT	95_Provokupine.jpg	95	Sinnie			7				ABILITY: When this Sinnie is defeated, the player who revealed this Sinnie may search their deck for any card and place it in their hand.	Bearmaid Lv. 1	Provoke	Galatians 5:26		Joshua Wegner	
Narci	CT	96_Narci.jpg	96	Sinnie			7				ACTION: Your opponent must flip over one Animo in their small group.  They may not ACTIVATE or GROW that Animo on their next turn.	Draylight	Vanity	Proverbs 31:30		Joshua Wegner	
Itchyena	CT	97_Itchyena.jpg	97	Sinnie			8				ACTION: Your opponent may shuffle any 1 card from their discard pile back into their deck.  If they do, they must discard the top two cards of their deck.	Pladdy	Itching Ears	2 Timothy 4:3		Danh Tran Art	
Zapper King MEGA	CT	98_Zapperking_Mega.jpg	98	Sinnie			16					Squibble	Shocking Schemes	Zechariah 7:10b		Joshua Wegner	
Corruptayra MEGA	CT	99_Corruptayra_Mega.jpg	99	Sinnie			16					Dependaru	Corrupted	Titus 1:15		Danh Tran Art	
Skortch MEGA	CT	100_Skortch_Mega.jpg	100	Sinnie			16					Sparkube	Fire Starter	James 3:5		Joshua Wegner	
Ascension	CT	101_Ascension.jpg	101	Story							You may skip one growth stage this turn.  If you have a Lv. 2 Animo, you may place it directly in your small group.  If you have a Lv. 3 Animo, you may place it directly onto the Lv. 1 of the same Animo.			Acts 1:6-11		Cardsstation	
Indwelling	CT	102_Indwelling.jpg	102	Story							Search your deck for up to 2 Holy Spirit power cards and place them in your hand.  Shuffle your deck afterward.			Acts 2		Olga Menshikova	
Conversion	CT	103_Conversion.jpg	103	Story							You may discard a Sinnie from your hand and search your deck for any 1 Virtuous Animo.  If you do not have a Sinnie in your hand you cannot play this card.			Acts 9:1-22		Joshua Wegner	
Peter's Vision	CT	104_Peter_s_Vision.jpg	104	Story							Search your deck for 1 Lv. 1 Animo and exchange it with 1 Animo (and any attached equipment) from your small group.  Shuffle your deck afterward.			Acts 10:1-48		Cardsstation	
Answered Prayers	CT	105_Answered_Prayers.jpg	105	Story							Look at the bottom 5 cards of your deck.  Put one in your hand and return the rest to the bottom in any order you desire.			Acts 12:6-17		Cardsstation	
Beautiful Gate	CT	106_Beautiful_Gate.jpg	106	Story							Choose 1 of the following:  1) Remove a hindrance card from your Active Sinnie -OR- 2) Ignore any effects from your Active Sinnie's ability for this turn.			Acts 16:16-18		Cardsstation	
Shake n' Break	CT	107_Shake_Break.jpg	107	Story							Return two Lv. 1 Animo (excluding Ultra) from your discard pile to your hand.			Acts 16:22-39		Cardsstation	
Slumber Tumbler	CT	108_Slumber_Tumbler.jpg	108	Story							Select 1 standard power from your power pool and place this card on top.  You may not use that power this turn.  On your following turn, that power may be used twice.  DIscard this card afterward.			Acts 20:7-12		Cardsstation	
Snakebit	CT	109_Snakebit.jpg	109	Story							Playing this card forfeits your scoring phase.  Return your hand to your deck.  You may select ANY 4 cards from your deck and place them in your hand.  Shuffle your deck.  Your turn ends immediately.			Acts 28:1-6		Danh Tran Art	
Letter To Corinth	CT	110_Letter_Corinth.jpg	110	Story							Search your deck for a card that provides a  L fellowship bonus.			1 Corinthians 13		Olga Menshikova	
Letter To Galatia	CT	111_Letter_Galatia.jpg	111	Story							Search your deck for a card that provides a S fellowship bonus.			Galatians 4:1-7		Olga Menshikova	
Letter To Ephesus	CT	112_Letter_Ephesus.jpg	112	Story							Search your deck for a card that provides a F fellowship bonus.			Ephesians 2:1-10		Olga Menshikova	
Tough as Nails	CT	113_Tough_Nails.jpg	113	Story							If your Active Sinnie spot is empty, you may place this card there.  When an opponent reveals a Sinnie to you, discard this card and search your deck for up to 3 Animo and place them in your hand.  Shuffle your deck afterward.			Philippians 2:4-11		Olga Menshikova	
Bible Study - Spirit	CT	114_Bible_Study_Spirit.jpg	114	Story							Search your deck for any 1 S Animo.  Reveal it and put it in your hand.  Shuffle your deck afterward.			1 Thessalonians 2:13		anonymous	
Letter To Thessalonica	CT	115_Letter_Thessalonica.jpg	115	Story							Search your deck for an Animo that provides a H fellowship bonus.			1 Thessalonians 4:13-18		Olga Menshikova	
Breastplate of Righteousness	CT	116_Breastplate_Righteousness.jpg	116	Equipment							Every H cost associated with the ANimo to whom this card is attached becomes a universal cost.  Any F, L, or S costs now become H costs.			Ephesians 6:14		Olga Menshikova	
Helmet of Salvation	CT	117_Helmet_Salvation.jpg	117	Equipment							This card may not be attached to an ULTRA Animo. When the Animo to whom this card is attached is to be discarded, discard this card instead and return the Animo to your hand.			Ephesians 6:17		Olga Menshikova	
Sword of the Spirit	CT	118_Sword_Spirit.jpg	118	Equipment							The S Animo to whom this card is attached gains +3 Virtue Points.			Ephesians 6:14		Olga Menshikova	
Shield of Faith	CT	119_Shield_Faith.jpg	119	Equipment							The F Animo to which this card is attached is not affected by abilities or actions of Sinnies.  Also, as long as this card remains in play, your power cards are protected against the actions of your opponent's story cards or Sinnies.			Ephesians 6:16		Olga Menshikova	
Belt of Truth	CT	120_Belt_Truth.jpg	120	Equipment							1. When this card is attached to a L Animo, instantly draw 2 cards.  2.  Once per turn, as long as this card is attached to any Animo in play, you may peek at the top 4 cards in your deck and return them to the top of your deck in any order.			Ephesians 6:14		Olga Menshikova	
Shoes of the Gospel	CT	121_Shoes_Gospel.jpg	121	Equipment							Once during your turn, as long as this card is attached to one of the Animo in your small group, you may look at the top card of your deck.  If that card is a power card, you may put it directly into your power pool.  Otherwise, put the card back on top.			Ephesians 6:15		Olga Menshikova	
Peter's Sandals	CT	122_Peter_s_Sandals.jpg	122	Equipment							When the Animo to whom this card is attached is to be discarded, discard this card, and shuffle that Animo back into your deck.			Acts 12:8-10		Olga Menshikova	
Paul's Chains	CT	123_Paul_s_Chains.jpg	123	Equipment							The Animo to whom this card is attached may not be ACTIVATED, but may be discarded at any time during your setup phase.  Once per turn, as long as this card is attached to an Animo in your small group, you may search your deck for up to 2 level 1 Animo and place them in your small group.  If there is no room in your small group, this card has no use.			Philippians 1:12-14		Olga Menshikova	
Hardened Heart	CT	124_Hardened_Heart.jpg	124	Hindrance							This card may only be attached to a Sinnie with a defense less than 10.  The Sinnie to which this card is attached has +5 defense.			Ephesians 4:18		Olga Menshikova	
Paul's Thorn	CT	125_Pauls_Thorn.jpg	125	Hindrance							As long as this is attached to a Sinnie (excluding MEGA), every Virtuous Animo that is played against that Sinnie has its virtue score reduced by 2 points.			2 Corinthians 12		Olga Menshikova	
Blindfold	CT	126_Blindfold.jpg	126	Hindrance							This card may only be attached to a Sinnie with an ABILITY.  As long as this card is attached, the ABILITY of the Sinnie may no longer be used, instead, the Sinnie gains +7 defense.			2 Corinthians 4:4		Olga Menshikova	
Silas	CT	127_Silas.jpg	127	Truth Seeker		Faith					Once per turn, you may return 1 F power from your discard pile into your hand.					Weirdsgn	
Mae	CT	128_Mae.jpg	128	Truth Seeker		Faith					(Once per turn) You may draw 2 cards for each F power that you discard from your hand.					Weirdsgn	
Sadie	CT	129_Sadie.jpg	129	Truth Seeker		Hope					Once per turn, you may search your deck for a level 1 Animo (excluding ULTRA) and place it in your small group.					Weirdsgn	
Link	CT	130_Link.jpg	130	Truth Seeker		Hope					If after your draw phase you have no power cards in your hand, you may reveal your hand and search your deck for 1 standard power card.  Shuffle your deck.					Weirdsgn	
Sophia	CT	131_Sophia.jpg	131	Truth Seeker		Love					If you are facing a Sinnie when your turn begins, you may draw 2 extra cards during your draw phase.					Weirdsgn	
Calvin	CT	132_Calvin.jpg	132	Truth Seeker		Love					Victory Condition: Win by defeating 5 Sinnies					Weirdsgn	
Simon	CT	133_Simon.jpg	133	Truth Seeker		Spirit					Once per turn you may reveal an Animo from your hand and search your deck for the previous growth stage of that Animo.  Shuffle your deck afterward.					Weirdsgn	
Ellie	CT	134_Ellie.jpg	134	Truth Seeker		Spirit					Victory Condition: Win by scoring 55 Virtue Points					Weirdsgn	
Faith	CT	135_Faith.jpg	135	Power		Faith								Hebrews 11:1			/cr90
Hope	CT	136_Hope.jpg	136	Power		Hope								Psalm 39:7			/cr90
Love	CT	137_Love.jpg	137	Power		Love								John 13:34			/cr90
Holy Spirit	CT	138_Holy_Spirit.jpg	138	Power		Spirit								Acts 1:8			/cr90
Prayer	CT	139_Prayer.jpg	139	Special Power										Colossians 4:2			/cr90
Fasting	CT	140_Fasting.jpg	140	Special Power										Acts 13:3			/cr90
Faith Alternate Art	CT	141_Faith_Alt.jpg	141	Power		Faith								Hebrews 11:1			/cr90
Hope Alternate Art	CT	142_Hope_Alt.jpg	142	Power		Hope								Psalm 39:7			/cr90
Love Alternate Art	CT	143_Love_Alt.jpg	143	Power		Love								John 13:34			/cr90
Holy Spirit Alternate Art	CT	144_Holy_Spirit_Alt.jpg	144	Power		Spirit								Acts 1:8			/cr90
Luminey 1	RLD	1_Luminey.jpg	1	Virtuous	1	Faith	4			FF			Night Light	Luke 11:33		Joshua Wegner	
Luminey 2	RLD	2_Luminey_2.jpg	2	Virtuous	2	Faith	8			FFx	ABILITY: When this card is played from your hand to grow Luminey Lv.1, you may look at the top 5 cards of your deck.  Discard as many of those cards as you desire and return the rest to the top of the deck in any order.		Revealed	Luke 12:2		Danh Tran Art	
Luminey 3	RLD	3_Luminey_3.jpg	3	Virtuous	3	Faith	13	H	16	FFF	ACTION: You may select up to 3 standard power cards from your discard pile and place them directly into your power pool.		En-light-ened	Luke 8:17		Danh Tran Art	
Sparkube 1	RLD	4_sparkube.jpg	4	Virtuous	1	Faith	4			Fx			Light of Life	Matthew 5:14		Joshua Wegner	
Sparkube 2	RLD	5_Sparkube_2.jpg	5	Virtuous	2	Faith	7	H	10	Fx			Shine	Matthew 5:16		Danh Tran Art	
Maiseal 1	RLD	6_Maiseal.jpg	6	Virtuous	1	Faith	5			Fx	ACTION: You may return a Story card from your discard pile back into your hand.		Believe	John 3:16		Danh Tran Art	
Trusty 1	RLD	7_Trusty.jpg	7	Virtuous	1	Faith	5			FU			Untroubled	John 14:1		Lucy_Was_Taken	
Trusty 2	RLD	8_Trusty_2.jpg	8	Virtuous	2	Faith	10			FFF	ABILITY: For each Trusty in your discard pile, you may remove one cost to activate this Animo.		Blind Faith	John 20:29		Lucy_Was_Taken	
Flo 1	RLD	9_Flo_a.jpg	9	Virtuous	1	Faith	3			F	ABILITY: When this card is played from your hand into your small group, you may place 1 L Animo from your discard pile into your hand.		Good Shepherd	John 10:11		Lucy_Was_Taken	
Flo 1	RLD	10_Flo_b.jpg	10	Virtuous	1	Faith	4	L	6	Fx			Follow	John 10:27		Chris Alonso	
Flo 2	RLD	11_Flo_2.jpg	11	Virtuous	2	Faith	6	L	9	F	ABILITY: As long as this card is in your small group, any L Animo in play may NOT be targeted by the ACTIONS of Sinnies.		Safe and Sound	John 10:28		Lucy_Was_Taken	
